H.A,176,H.A,161,H.A,187,H.A,177,H.A,171,H.A,177,H.A,176,H.A,166,H.A,161,H.A,133,H.A,155,H.A,134,H.A,165,H.A,155,H.A,160,H.A,123,H.A,171,H.A,161,H.A,155,H.A,171,H.A,139,H.A,166,H.A,187,H.A,165,H.A,140,H.A,157,H.A,176,H.A,192,H.A,144,H.A,171,H.A,182,H.A,170,H.A,151,H.A,132,H.A,177,H.A,181,H.A,137,H.A,177,H.A,145,H.A,147,H.A,160,H.A,118,H.A,95,H.A,112,H.A,155,H.A,160,H.A,138,H.A,144,H.A,139,H.A,159,H.A,111,H.A,128,H.A,149,H.A,151,H.A,117,H.A,149,H.A,139,H.A,164,H.A,132,H.A,123,H.A,176,H.A,108,H.A,138,H.A,145,H.A,157,,195
DD.A.m,243,DD.A.m,185,DD.A.m,409,DD.A.m,217,DD.A.m,276,DD.A.m,221,DD.A.m,214,DD.A.m,241,DD.A.m,172,DD.A.m,150,DD.A.m,186,DD.A.m,179,DD.A.m,427,DD.A.m,160,DD.A.m,181,DD.A.m,176,DD.A.m,221,DD.A.m,249,DD.A.m,234,DD.A.m,206,DD.A.m,229,DD.A.m,491,DD.A.m,264,DD.A.m,170,DD.A.m,189,DD.A.m,161,DD.A.m,888,DD.A.m,222,DD.A.m,179,DD.A.m,420,DD.A.m,413,DD.A.m,573,DD.A.m,199,DD.A.m,254,DD.A.m,282,DD.A.m,262,DD.A.m,242,DD.A.m,248,DD.A.m,246,DD.A.m,270,DD.A.m,233,DD.A.m,284,DD.A.m,1493,DD.A.m,1124,DD.A.m,601,DD.A.m,795,DD.A.m,881,DD.A.m,954,DD.A.m,1006,DD.A.m,584,DD.A.m,745,DD.A.m,789,DD.A.m,999,DD.A.m,450,DD.A.m,547,DD.A.m,596,DD.A.m,520,DD.A.m,834,DD.A.m,497,DD.A.m,400,DD.A.m,518,DD.A.m,492,DD.A.m,528,DD.A.m,644,DD.A.m,1253,,
UD.A.m,67,UD.A.m,24,UD.A.m,222,UD.A.m,40,UD.A.m,105,UD.A.m,44,UD.A.m,38,UD.A.m,75,UD.A.m,11,UD.A.m,17,UD.A.m,31,UD.A.m,45,UD.A.m,262,UD.A.m,5,UD.A.m,21,UD.A.m,53,UD.A.m,50,UD.A.m,88,UD.A.m,79,UD.A.m,35,UD.A.m,90,UD.A.m,325,UD.A.m,77,UD.A.m,5,UD.A.m,49,UD.A.m,4,UD.A.m,712,UD.A.m,30,UD.A.m,35,UD.A.m,249,UD.A.m,231,UD.A.m,403,UD.A.m,48,UD.A.m,122,UD.A.m,105,UD.A.m,81,UD.A.m,105,UD.A.m,71,UD.A.m,101,UD.A.m,123,UD.A.m,73,UD.A.m,166,UD.A.m,1398,UD.A.m,1012,UD.A.m,446,UD.A.m,635,UD.A.m,743,UD.A.m,810,UD.A.m,867,UD.A.m,425,UD.A.m,634,UD.A.m,661,UD.A.m,850,UD.A.m,299,UD.A.m,430,UD.A.m,447,UD.A.m,381,UD.A.m,670,UD.A.m,365,UD.A.m,277,UD.A.m,342,UD.A.m,384,UD.A.m,390,UD.A.m,499,UD.A.m,1096,,
H.m,129,H.m,119,H.m,139,H.m,133,H.m,132,H.m,118,H.m,134,H.m,145,H.m,123,H.m,124,H.m,117,H.m,138,H.m,133,H.m,145,H.m,107,H.m,139,H.m,122,H.m,139,H.m,122,H.m,143,H.m,123,H.m,128,H.m,139,H.m,124,H.m,102,H.m,113,H.m,140,H.m,118,H.m,123,H.m,124,H.m,75,H.m,133,H.m,111,H.m,129,H.m,122,H.m,133,H.m,126,H.m,129,H.m,107,H.m,123,H.m,118,H.m,79,H.m,144,H.m,193,H.m,139,H.m,176,H.m,171,H.m,183,H.m,177,H.m,188,H.m,171,H.m,166,H.m,155,H.m,177,H.m,172,H.m,176,H.m,166,H.m,170,H.m,160,H.m,157,H.m,167,H.m,155,H.m,180,H.m,177,H.m,175,,
DD.m.1,1607,DD.m.1,930,DD.m.1,449,DD.m.1,817,DD.m.1,552,DD.m.1,896,DD.m.1,1088,DD.m.1,762,DD.m.1,582,DD.m.1,432,DD.m.1,431,DD.m.1,346,DD.m.1,427,DD.m.1,592,DD.m.1,251,DD.m.1,694,DD.m.1,756,DD.m.1,747,DD.m.1,712,DD.m.1,532,DD.m.1,428,DD.m.1,539,DD.m.1,522,DD.m.1,908,DD.m.1,678,DD.m.1,719,DD.m.1,900,DD.m.1,528,DD.m.1,1166,DD.m.1,2115,DD.m.1,400,DD.m.1,771,DD.m.1,745,DD.m.1,343,DD.m.1,644,DD.m.1,1192,DD.m.1,1072,DD.m.1,536,DD.m.1,299,DD.m.1,803,DD.m.1,548,DD.m.1,767,DD.m.Backspace,173,DD.m.1,873,DD.m.1,268,DD.m.1,242,DD.m.1,403,DD.m.1,1188,DD.m.1,182,DD.m.1,193,DD.m.1,186,DD.m.1,212,DD.m.1,205,DD.m.1,269,DD.m.1,176,DD.m.1,293,DD.m.1,175,DD.m.1,1397,DD.m.1,207,DD.m.1,160,DD.m.1,516,DD.m.1,241,DD.m.1,414,DD.m.1,221,DD.m.1,553,,
UD.m.1,1478,UD.m.1,811,UD.m.1,310,UD.m.1,684,UD.m.1,420,UD.m.1,778,UD.m.1,954,UD.m.1,617,UD.m.1,459,UD.m.1,308,UD.m.1,314,UD.m.1,208,UD.m.1,294,UD.m.1,447,UD.m.1,144,UD.m.1,555,UD.m.1,634,UD.m.1,608,UD.m.1,590,UD.m.1,389,UD.m.1,305,UD.m.1,411,UD.m.1,383,UD.m.1,784,UD.m.1,576,UD.m.1,606,UD.m.1,760,UD.m.1,410,UD.m.1,1043,UD.m.1,1991,UD.m.1,325,UD.m.1,638,UD.m.1,634,UD.m.1,214,UD.m.1,522,UD.m.1,1059,UD.m.1,946,UD.m.1,407,UD.m.1,192,UD.m.1,680,UD.m.1,430,UD.m.1,688,UD.m.Backspace,29,UD.m.1,680,UD.m.1,129,UD.m.1,66,UD.m.1,232,UD.m.1,1005,UD.m.1,5,UD.m.1,5,UD.m.1,15,UD.m.1,46,UD.m.1,50,UD.m.1,92,UD.m.1,4,UD.m.1,117,UD.m.1,9,UD.m.1,1227,UD.m.1,47,UD.m.1,3,UD.m.1,349,UD.m.1,86,UD.m.1,234,UD.m.1,44,UD.m.1,378,,
H.1,128,H.1,301,H.1,93,H.1,117,H.1,134,H.1,119,H.1,151,H.1,76,H.1,117,H.1,90,H.1,144,H.1,149,H.1,112,H.1,89,H.1,112,H.1,128,H.1,91,H.1,118,H.1,123,H.1,128,H.1,127,H.1,139,H.1,123,H.1,106,H.1,337,H.1,106,H.1,110,H.1,102,H.1,122,H.1,92,H.1,108,H.1,150,H.1,107,H.1,133,H.1,84,H.1,134,H.1,82,H.1,129,H.1,123,H.1,106,H.1,129,H.1,148,H.Backspace,97,H.1,144,H.1,128,H.1,128,H.1,141,H.1,150,H.1,138,H.1,107,H.1,102,H.1,149,H.1,107,H.1,135,H.1,81,H.1,133,H.1,102,H.1,156,H.1,139,H.1,123,H.1,144,H.1,134,H.1,155,H.1,128,H.1,134,,
DD.1.1,178,DD.1.1,2096,DD.1.1,179,DD.1.1,192,DD.1.1,344,DD.1.1,197,DD.1.1,212,DD.1.1,202,DD.1.1,172,DD.1.1,161,DD.1.1,207,DD.1.1,1504,DD.1.1,173,DD.1.1,145,DD.1.1,176,DD.1.1,178,DD.1.1,179,DD.1.1,172,DD.1.1,212,DD.1.1,189,DD.1.1,221,DD.1.1,197,DD.1.1,191,DD.1.1,183,DD.1.1,971,DD.1.1,186,DD.1.1,189,DD.1.1,175,DD.1.1,189,DD.1.1,180,DD.1.1,186,DD.1.1,277,DD.1.1,171,DD.1.1,205,DD.1.1,204,DD.1.1,191,DD.1.1,167,DD.1.1,207,DD.1.1,201,DD.1.1,185,DD.1.1,193,DD.1.1,185,DD.Backspace.Backspace,885,DD.1.1,370,DD.1.1,590,DD.1.1,700,DD.1.1,294,DD.1.1,741,DD.1.1,481,DD.1.1,583,DD.1.1,644,DD.1.1,1373,DD.1.1,630,DD.1.1,376,DD.1.1,554,DD.1.1,357,DD.1.1,452,DD.1.1,266,DD.1.1,376,DD.1.1,437,DD.1.1,373,DD.1.1,255,DD.1.1,428,DD.1.1,448,DD.1.1,420,,
UD.1.1,50,UD.1.1,1795,UD.1.1,86,UD.1.1,75,UD.1.1,210,UD.1.1,78,UD.1.1,61,UD.1.1,126,UD.1.1,55,UD.1.1,71,UD.1.1,63,UD.1.1,1355,UD.1.1,61,UD.1.1,56,UD.1.1,64,UD.1.1,50,UD.1.1,88,UD.1.1,54,UD.1.1,89,UD.1.1,61,UD.1.1,94,UD.1.1,58,UD.1.1,68,UD.1.1,77,UD.1.1,634,UD.1.1,80,UD.1.1,79,UD.1.1,73,UD.1.1,67,UD.1.1,88,UD.1.1,78,UD.1.1,127,UD.1.1,64,UD.1.1,72,UD.1.1,120,UD.1.1,57,UD.1.1,85,UD.1.1,78,UD.1.1,78,UD.1.1,79,UD.1.1,64,UD.1.1,37,UD.Backspace.Backspace,788,UD.1.1,226,UD.1.1,462,UD.1.1,572,UD.1.1,153,UD.1.1,591,UD.1.1,343,UD.1.1,476,UD.1.1,542,UD.1.1,1224,UD.1.1,523,UD.1.1,241,UD.1.1,473,UD.1.1,224,UD.1.1,350,UD.1.1,110,UD.1.1,237,UD.1.1,314,UD.1.1,229,UD.1.1,121,UD.1.1,273,UD.1.1,320,UD.1.1,286,,
H.1,179,H.1,157,H.1,149,H.1,165,H.1,163,H.1,182,H.1,156,H.1,141,H.1,146,H.1,145,H.1,150,H.1,167,H.1,145,H.1,144,H.1,149,H.1,165,H.1,133,H.1,166,H.1,139,H.1,145,H.1,128,H.1,155,H.1,140,H.1,134,H.1,128,H.1,145,H.1,152,H.1,144,H.1,156,H.1,160,H.1,160,H.1,153,H.1,139,H.1,171,H.1,146,H.1,162,H.1,151,H.1,161,H.1,161,H.1,128,H.1,166,H.1,179,H.Backspace,123,H.1,89,H.1,78,H.1,67,H.1,100,H.1,98,H.1,128,H.1,124,H.1,107,H.1,83,H.1,96,H.1,101,H.1,123,H.1,133,H.1,138,H.1,85,H.1,128,H.1,112,H.1,116,H.1,123,H.1,118,H.1,102,H.1,112,,
