H.A,155,H.A,134,H.A,160,H.A,177,H.A,150,H.A,128,H.A,155,H.A,145,H.A,165,H.A,134,H.A,166,H.A,137,H.A,117,H.A,122,H.A,132,H.A,127,H.A,90,H.A,137,H.A,122,H.A,121,H.A,112,H.A,137,H.A,128,H.A,106,H.A,122,H.A,143,H.A,111,H.A,137,H.m,137,H.A,37,H.A,113,H.A,550,H.A,57,H.A,40,H.A,48,H.A,15,H.A,31,H.A,74,H.A,96,H.A,24,H.A,24,H.A,5,H.A,46,H.A,17,H.A,70,H.A,239,H.A,35,H.A,100,H.A,50,H.A,381,H.A,36,H.A,4,H.A,48,H.A,76,H.A,414,H.A,428,H.A,387,H.A,105,H.A,236,H.A,296,H.A,641,H.A,416,H.A,246,H.A,148,H.A,318,,786,,54,,10,,1014,,152,,310,,184,,118
DD.A.m,345,DD.A.m,374,DD.A.m,353,DD.A.m,334,DD.A.m,417,DD.A.m,386,DD.A.m,473,DD.A.m,462,DD.A.m,271,DD.A.m,272,DD.A.m,287,DD.A.m,694,DD.A.m,592,DD.A.m,613,DD.A.m,1083,DD.A.m,574,DD.A.m,565,DD.A.m,567,DD.A.m,609,DD.A.m,356,DD.A.m,478,DD.A.m,584,DD.A.m,441,DD.A.m,456,DD.A.m,485,DD.A.m,648,DD.A.m,390,DD.A.m,499,DD.m.1,973,DD.A.m,75,DD.A.m,226,DD.A.m,631,DD.A.m,168,DD.A.m,142,DD.A.m,144,DD.A.m,101,DD.A.m,133,DD.A.m,171,DD.A.m,193,DD.A.m,109,DD.A.m,137,DD.A.m,134,DD.A.m,175,DD.A.m,151,DD.A.m,209,DD.A.m,524,DD.A.m,217,DD.A.m,233,DD.A.m,145,DD.A.m,477,DD.A.m,138,DD.A.m,91,DD.A.m,128,DD.A.m,177,DD.A.m,516,DD.A.m,540,DD.A.m,494,DD.A.m,207,DD.A.m,347,DD.A.m,386,DD.A.m,737,DD.A.m,544,DD.A.m,343,DD.A.m,202,DD.A.m,424,,905,,177,,102,,1172,,254,,427,,302,,
UD.A.m,190,UD.A.m,240,UD.A.m,193,UD.A.m,157,UD.A.m,267,UD.A.m,258,UD.A.m,318,UD.A.m,317,UD.A.m,106,UD.A.m,138,UD.A.m,121,UD.A.m,557,UD.A.m,475,UD.A.m,491,UD.A.m,951,UD.A.m,447,UD.A.m,475,UD.A.m,430,UD.A.m,487,UD.A.m,235,UD.A.m,366,UD.A.m,447,UD.A.m,313,UD.A.m,350,UD.A.m,363,UD.A.m,505,UD.A.m,279,UD.A.m,362,UD.m.1,836,UD.A.m,38,UD.A.m,113,UD.A.m,81,UD.A.m,111,UD.A.m,102,UD.A.m,96,UD.A.m,86,UD.A.m,102,UD.A.m,97,UD.A.m,97,UD.A.m,85,UD.A.m,113,UD.A.m,129,UD.A.m,129,UD.A.m,134,UD.A.m,139,UD.A.m,285,UD.A.m,182,UD.A.m,133,UD.A.m,95,UD.A.m,96,UD.A.m,102,UD.A.m,87,UD.A.m,80,UD.A.m,101,UD.A.m,102,UD.A.m,112,UD.A.m,107,UD.A.m,102,UD.A.m,111,UD.A.m,90,UD.A.m,96,UD.A.m,128,UD.A.m,97,UD.A.m,54,UD.A.m,106,,119,,123,,92,,158,,102,,117,,118,,
H.m,111,H.m,118,H.m,96,H.m,123,H.m,114,H.m,81,H.m,100,H.m,102,H.m,113,H.m,129,H.m,102,H.m,171,H.m,128,H.m,187,H.m,161,H.m,138,H.m,133,H.m,177,H.m,160,H.m,150,H.m,144,H.m,139,H.m,149,H.m,144,H.m,149,H.m,165,H.m,166,H.m,112,H.1,117,H.m,37,H.m,58,H.m,63,H.m,70,H.m,76,H.m,62,H.m,979,H.m,70,H.m,66,H.m,266,H.m,66,H.m,72,H.m,86,H.m,68,H.m,71,H.m,80,H.m,65,H.m,95,H.m,127,H.m,94,H.m,65,H.m,58,H.m,68,H.m,89,H.m,61,H.m,69,H.m,63,H.m,6,H.m,99,H.m,73,H.m,68,H.m,65,H.m,69,H.m,69,H.m,152,H.m,76,,,,,,,,,,,,,,,,
DD.m.1,444,DD.m.1,295,DD.m.1,473,DD.m.1,182,DD.m.1,1196,DD.m.1,317,DD.m.1,726,DD.m.1,451,DD.m.1,216,DD.m.1,236,DD.m.1,542,DD.m.1,254,DD.m.1,248,DD.m.1,283,DD.m.1,382,DD.m.1,213,DD.m.1,245,DD.m.1,284,DD.m.1,464,DD.m.1,231,DD.m.1,278,DD.m.1,287,DD.m.1,302,DD.m.1,255,DD.m.1,260,DD.m.1,305,DD.m.1,260,DD.m.1,161,DD.1.1,166,DD.m.1,75,DD.m.1,194,DD.m.1,197,DD.m.1,220,DD.m.1,178,DD.m.1,195,DD.m.1,1060,DD.m.1,183,DD.m.1,168,DD.m.1,411,DD.m.1,200,DD.m.1,216,DD.m.1,214,DD.m.1,192,DD.m.1,231,DD.m.1,202,DD.m.1,236,DD.m.1,240,DD.m.1,266,DD.m.1,202,DD.m.1,162,DD.m.1,175,DD.m.1,202,DD.m.1,218,DD.m.1,169,DD.m.1,198,DD.m.1,191,DD.m.1,129,DD.m.1,227,DD.m.1,196,DD.m.1,197,DD.m.1,194,DD.m.1,224,DD.m.1,197,DD.m.1,253,DD.m.1,189,,,,,,,,,,,,,,,,
UD.m.1,333,UD.m.1,177,UD.m.1,377,UD.m.1,59,UD.m.1,1082,UD.m.1,236,UD.m.1,626,UD.m.1,349,UD.m.1,103,UD.m.1,107,UD.m.1,440,UD.m.1,83,UD.m.1,120,UD.m.1,96,UD.m.1,221,UD.m.1,75,UD.m.1,112,UD.m.1,107,UD.m.1,304,UD.m.1,81,UD.m.1,134,UD.m.1,148,UD.m.1,153,UD.m.1,111,UD.m.1,111,UD.m.1,140,UD.m.1,94,UD.m.1,49,UD.1.1,49,UD.m.1,38,UD.m.1,136,UD.m.1,134,UD.m.1,150,UD.m.1,102,UD.m.1,133,UD.m.1,81,UD.m.1,113,UD.m.1,102,UD.m.1,145,UD.m.1,134,UD.m.1,144,UD.m.1,128,UD.m.1,124,UD.m.1,160,UD.m.1,122,UD.m.1,171,UD.m.1,145,UD.m.1,139,UD.m.1,108,UD.m.1,97,UD.m.1,117,UD.m.1,134,UD.m.1,129,UD.m.1,108,UD.m.1,129,UD.m.1,128,UD.m.1,123,UD.m.1,128,UD.m.1,123,UD.m.1,129,UD.m.1,129,UD.m.1,155,UD.m.1,128,UD.m.1,101,UD.m.1,113,,,,,,,,,,,,,,,,
H.1,108,H.1,106,H.1,112,H.1,113,H.1,79,H.1,80,H.1,107,H.1,97,H.1,118,H.1,117,H.1,123,H.1,129,H.1,116,H.1,113,H.1,96,H.1,128,H.1,114,H.1,102,H.1,97,H.1,133,H.1,102,H.1,106,H.1,101,H.1,101,H.1,111,H.1,102,H.1,107,H.1,118,H.1,107,H.1,37,H.1,23,H.1,26,H.1,125,H.1,63,H.1,41,H.1,290,H.1,192,H.1,26,H.1,193,H.1,80,H.1,111,H.1,409,H.1,78,H.1,78,H.1,73,H.1,67,H.1,445,H.1,773,H.1,136,H.1,10,H.1,63,H.1,37,H.1,39,H.1,5,H.1,37,H.1,30,H.1,491,H.1,401,H.1,468,H.1,61,H.1,72,H.1,330,H.1,52,H.1,362,H.1,73,,,,,,,,,,,,,,,,
DD.1.1,181,DD.1.1,187,DD.1.1,173,DD.1.1,191,DD.1.1,135,DD.1.1,155,DD.1.1,172,DD.1.1,160,DD.1.1,190,DD.1.1,182,DD.1.1,177,DD.1.1,196,DD.1.1,152,DD.1.1,377,DD.1.1,490,DD.1.1,213,DD.1.1,168,DD.1.1,351,DD.1.1,181,DD.1.1,160,DD.1.1,185,DD.1.1,170,DD.1.1,240,DD.1.1,147,DD.1.1,427,DD.1.1,488,DD.1.1,114,DD.1.1,128,DD.1.5,176,DD.1.1,75,DD.1.1,97,DD.1.1,123,DD.1.1,246,DD.1.1,159,DD.1.1,125,DD.1.1,402,DD.1.1,277,DD.1.1,100,DD.1.1,295,DD.1.1,188,DD.1.1,210,DD.1.1,533,DD.1.1,196,DD.1.1,186,DD.1.1,193,DD.1.1,190,DD.1.1,528,DD.1.1,869,DD.1.1,248,DD.1.1,80,DD.1.1,149,DD.1.1,123,DD.1.1,135,DD.1.1,80,DD.1.1,122,DD.1.5,121,DD.1.1,561,DD.1.1,483,DD.1.1,566,DD.1.1,158,DD.1.1,157,DD.1.1,442,DD.1.1,131,DD.1.1,462,DD.1.1,159,,,,,,,,,,,,,,,,
UD.1.1,73,UD.1.1,81,UD.1.1,61,UD.1.1,78,UD.1.1,56,UD.1.1,75,UD.1.1,65,UD.1.1,63,UD.1.1,72,UD.1.1,65,UD.1.1,54,UD.1.1,67,UD.1.1,36,UD.1.1,264,UD.1.1,394,UD.1.1,85,UD.1.1,54,UD.1.1,249,UD.1.1,84,UD.1.1,27,UD.1.1,83,UD.1.1,64,UD.1.1,139,UD.1.1,46,UD.1.1,316,UD.1.1,386,UD.1.1,7,UD.1.1,10,UD.1.5,69,UD.1.1,38,UD.1.1,74,UD.1.1,97,UD.1.1,121,UD.1.1,96,UD.1.1,84,UD.1.1,112,UD.1.1,85,UD.1.1,74,UD.1.1,102,UD.1.1,108,UD.1.1,99,UD.1.1,124,UD.1.1,118,UD.1.1,108,UD.1.1,120,UD.1.1,123,UD.1.1,83,UD.1.1,96,UD.1.1,112,UD.1.1,70,UD.1.1,86,UD.1.1,86,UD.1.1,96,UD.1.1,75,UD.1.1,85,UD.1.5,91,UD.1.1,70,UD.1.1,82,UD.1.1,98,UD.1.1,97,UD.1.1,85,UD.1.1,112,UD.1.1,79,UD.1.1,100,UD.1.1,86,,,,,,,,,,,,,,,,
H.1,106,H.1,76,H.1,112,H.1,101,H.1,101,H.1,117,H.1,117,H.1,112,H.1,90,H.1,106,H.1,92,H.1,118,H.1,108,H.1,101,H.1,102,H.1,106,H.1,102,H.1,96,H.1,117,H.1,124,H.1,107,H.1,103,H.1,107,H.1,97,H.1,118,H.1,236,H.1,100,H.1,119,H.5,133,H.1,37,H.1,214,H.1,246,H.1,936,H.1,238,H.1,207,H.1,547,H.1,354,H.1,274,H.1,148,H.1,276,H.1,254,H.1,291,H.1,484,H.1,260,H.1,507,H.1,201,H.1,263,H.1,241,H.1,1079,H.1,183,H.1,252,H.1,750,H.1,532,H.1,334,H.1,271,H.5,216,H.1,882,H.1,276,H.1,385,H.1,250,H.1,217,H.1,967,H.1,218,H.1,73,H.1,183,,,,,,,,,,,,,,,,
