H.A,150,H.A,176,H.A,151,H.A,155,H.A,172,H.A,118,H.A,172,H.A,177,H.A,166,H.A,171,H.A,166,H.A,155,H.A,167,H.A,177,H.A,171,H.A,160,H.A,187,H.A,197,H.A,172,H.A,177,H.A,166,H.A,203,H.A,180,H.A,187,H.A,198,H.A,199,H.A,182,H.A,209,H.A,171,H.A,171,H.A,203,H.A,193,H.A,192,H.A,219,H.A,198,H.A,192,H.A,219,H.A,204,H.A,175,H.A,188,H.A,225,H.A,203,H.A,166,H.A,170,H.A,162,H.A,198,H.A,176,H.A,188,H.A,185,H.A,198,H.A,215,H.A,171,H.A,192,H.A,150,H.A,176,H.A,160,H.A,149,H.A,177,H.A,219,H.A,171,H.A,172,H.A,209,H.A,201,H.A,203,H.A,198
DD.A.m,211,DD.A.m,285,DD.A.m,192,DD.A.m,876,DD.A.m,512,DD.A.m,217,DD.A.m,183,DD.A.m,586,DD.A.m,398,DD.A.m,255,DD.A.m,289,DD.A.m,225,DD.A.m,274,DD.A.m,182,DD.A.m,299,DD.A.m,292,DD.A.m,304,DD.A.m,390,DD.A.m,329,DD.A.m,343,DD.A.m,241,DD.A.m,278,DD.A.m,323,DD.A.m,364,DD.A.m,322,DD.A.m,227,DD.A.M,198,DD.A.m,355,DD.A.M,176,DD.A.m,255,DD.A.m,253,DD.A.M,209,DD.A.m,235,DD.A.m,316,DD.A.m,283,DD.A.m,247,DD.A.m,385,DD.A.m,320,DD.A.m,249,DD.A.m,296,DD.A.m,305,DD.A.m,316,DD.A.m,290,DD.A.m,255,DD.A.m,327,DD.A.m,267,DD.A.m,272,DD.A.m,251,DD.A.m,246,DD.A.m,302,DD.A.M,225,DD.A.m,264,DD.A.m,271,DD.A.m,278,DD.A.m,328,DD.A.m,261,DD.A.m,256,DD.A.m,224,DD.A.m,363,DD.A.m,232,DD.A.m,216,DD.A.m,254,DD.A.m,265,DD.A.m,344,DD.A.m,318
UD.A.m,61,UD.A.m,109,UD.A.m,41,UD.A.m,721,UD.A.m,340,UD.A.m,99,UD.A.m,11,UD.A.m,409,UD.A.m,232,UD.A.m,84,UD.A.m,123,UD.A.m,70,UD.A.m,107,UD.A.m,5,UD.A.m,128,UD.A.m,132,UD.A.m,117,UD.A.m,193,UD.A.m,157,UD.A.m,166,UD.A.m,75,UD.A.m,75,UD.A.m,143,UD.A.m,177,UD.A.m,124,UD.A.m,28,UD.A.M,16,UD.A.m,146,UD.A.M,5,UD.A.m,84,UD.A.m,50,UD.A.M,16,UD.A.m,43,UD.A.m,97,UD.A.m,85,UD.A.m,55,UD.A.m,166,UD.A.m,116,UD.A.m,74,UD.A.m,108,UD.A.m,80,UD.A.m,113,UD.A.m,124,UD.A.m,85,UD.A.m,165,UD.A.m,69,UD.A.m,96,UD.A.m,63,UD.A.m,61,UD.A.m,104,UD.A.M,10,UD.A.m,93,UD.A.m,79,UD.A.m,128,UD.A.m,152,UD.A.m,101,UD.A.m,107,UD.A.m,47,UD.A.m,144,UD.A.m,61,UD.A.m,44,UD.A.m,45,UD.A.m,64,UD.A.m,141,UD.A.m,120
H.m,122,H.m,133,H.m,97,H.m,122,H.m,112,H.m,90,H.m,112,H.m,150,H.m,134,H.m,128,H.m,133,H.m,124,H.m,129,H.m,129,H.m,132,H.m,123,H.m,144,H.m,144,H.m,138,H.m,140,H.m,143,H.m,139,H.m,178,H.m,143,H.m,171,H.m,117,H.M,118,H.m,134,H.M,120,H.m,144,H.m,140,H.M,91,H.m,135,H.m,134,H.m,129,H.m,139,H.m,135,H.m,155,H.m,132,H.m,139,H.m,138,H.m,146,H.m,102,H.m,139,H.m,139,H.m,124,H.m,136,H.m,140,H.m,134,H.m,139,H.M,70,H.m,165,H.m,150,H.m,123,H.m,138,H.m,123,H.m,135,H.m,130,H.m,145,H.m,145,H.m,139,H.m,141,H.m,128,H.m,159,H.m,134
DD.m.r,126,DD.m.1,494,DD.m.1,1813,DD.m.1,797,DD.m.1,1786,DD.m.1,240,DD.m.1,1141,DD.m.1,311,DD.m.1,297,DD.m.1,393,DD.m.1,278,DD.m.1,346,DD.m.1,245,DD.m.1,264,DD.m.1,177,DD.m.1,204,DD.m.1,249,DD.m.1,591,DD.m.1,221,DD.m.1,228,DD.m.1,334,DD.m.1,236,DD.m.1,261,DD.m.1,272,DD.m.1,366,DD.m.1,168,DD.M.1,188,DD.m.1,172,DD.M.1,191,DD.m.1,248,DD.m.1,295,DD.M.1,278,DD.m.1,167,DD.m.1,140,DD.m.1,184,DD.m.1,164,DD.m.1,141,DD.m.1,219,DD.m.1,165,DD.m.1,295,DD.m.1,398,DD.m.t,294,DD.m.1,114,DD.m.1,481,DD.m.1,166,DD.m.1,186,DD.m.1,264,DD.m.1,339,DD.m.1,286,DD.m.1,246,DD.M.Backspace,668,DD.m.1,287,DD.m.1,264,DD.m.1,140,DD.m.1,150,DD.m.1,187,DD.m.1,214,DD.m.1,178,DD.m.1,308,DD.m.1,228,DD.m.1,171,DD.m.1,151,DD.m.1,184,DD.m.1,638,DD.m.1,145
UD.m.r,4,UD.m.1,361,UD.m.1,1716,UD.m.1,675,UD.m.1,1674,UD.m.1,150,UD.m.1,1029,UD.m.1,161,UD.m.1,163,UD.m.1,265,UD.m.1,145,UD.m.1,222,UD.m.1,116,UD.m.1,135,UD.m.1,45,UD.m.1,81,UD.m.1,105,UD.m.1,447,UD.m.1,83,UD.m.1,88,UD.m.1,191,UD.m.1,97,UD.m.1,83,UD.m.1,129,UD.m.1,195,UD.m.1,51,UD.M.1,70,UD.m.1,38,UD.M.1,71,UD.m.1,104,UD.m.1,155,UD.M.1,187,UD.m.1,32,UD.m.1,6,UD.m.1,55,UD.m.1,25,UD.m.1,6,UD.m.1,64,UD.m.1,33,UD.m.1,156,UD.m.1,260,UD.m.t,148,UD.m.1,12,UD.m.1,342,UD.m.1,27,UD.m.1,62,UD.m.1,128,UD.m.1,199,UD.m.1,152,UD.m.1,107,UD.M.Backspace,598,UD.m.1,122,UD.m.1,114,UD.m.1,17,UD.m.1,12,UD.m.1,64,UD.m.1,79,UD.m.1,48,UD.m.1,163,UD.m.1,83,UD.m.1,32,UD.m.1,10,UD.m.1,56,UD.m.1,479,UD.m.1,11
H.r,43,H.1,118,H.1,69,H.1,139,H.1,316,H.1,107,H.1,166,H.1,107,H.1,80,H.1,114,H.1,80,H.1,97,H.1,107,H.1,128,H.1,80,H.1,102,H.1,337,H.1,107,H.1,107,H.1,108,H.1,103,H.1,106,H.1,117,H.1,106,H.1,91,H.1,113,H.1,107,H.1,90,H.1,136,H.1,102,H.1,111,H.1,163,H.1,129,H.1,107,H.1,101,H.1,69,H.1,101,H.1,118,H.1,114,H.1,96,H.1,118,H.t,112,H.1,95,H.1,74,H.1,97,H.1,118,H.1,115,H.1,119,H.1,107,H.1,91,H.Backspace,117,H.1,122,H.1,103,H.1,138,H.1,329,H.1,119,H.1,107,H.1,118,H.1,102,H.1,140,H.1,112,H.1,123,H.1,114,H.1,109,H.1,284
DD.r.Backspace,577,DD.1.1,155,DD.1.1,137,DD.1.1,224,DD.1.5,395,DD.1.1,159,DD.1.1,258,DD.1.1,163,DD.1.1,135,DD.1.1,166,DD.1.1,153,DD.1.1,152,DD.1.1,161,DD.1.1,174,DD.1.1,153,DD.1.1,144,DD.1.1,720,DD.1.1,165,DD.1.1,151,DD.1.1,171,DD.1.1,169,DD.1.1,166,DD.1.1,179,DD.1.1,167,DD.1.1,168,DD.1.1,158,DD.1.1,170,DD.1.1,144,DD.1.Backspace,1063,DD.1.1,157,DD.1.1,169,DD.1.5,167,DD.1.1,192,DD.1.1,172,DD.1.1,168,DD.1.1,155,DD.1.1,170,DD.1.1,178,DD.1.1,194,DD.1.1,160,DD.1.1,200,DD.t.Backspace,621,DD.1.1,159,DD.1.1,156,DD.1.1,186,DD.1.1,187,DD.1.1,186,DD.1.1,171,DD.1.1,187,DD.1.1,173,DD.Backspace.1,134,DD.1.1,188,DD.1.1,174,DD.1.1,210,DD.1.1,608,DD.1.1,174,DD.1.1,209,DD.1.1,188,DD.1.1,152,DD.1.1,215,DD.1.1,177,DD.1.1,198,DD.1.1,263,DD.1.1,164,DD.1.1,504
UD.r.Backspace,534,UD.1.1,37,UD.1.1,68,UD.1.1,85,UD.1.5,79,UD.1.1,52,UD.1.1,92,UD.1.1,56,UD.1.1,55,UD.1.1,52,UD.1.1,73,UD.1.1,55,UD.1.1,54,UD.1.1,46,UD.1.1,73,UD.1.1,42,UD.1.1,383,UD.1.1,58,UD.1.1,44,UD.1.1,63,UD.1.1,66,UD.1.1,60,UD.1.1,62,UD.1.1,61,UD.1.1,77,UD.1.1,45,UD.1.1,63,UD.1.1,54,UD.1.Backspace,927,UD.1.1,55,UD.1.1,58,UD.1.5,4,UD.1.1,63,UD.1.1,65,UD.1.1,67,UD.1.1,86,UD.1.1,69,UD.1.1,60,UD.1.1,80,UD.1.1,64,UD.1.1,82,UD.t.Backspace,509,UD.1.1,64,UD.1.1,82,UD.1.1,89,UD.1.1,69,UD.1.1,71,UD.1.1,52,UD.1.1,80,UD.1.1,82,UD.Backspace.1,17,UD.1.1,66,UD.1.1,71,UD.1.1,72,UD.1.1,279,UD.1.1,55,UD.1.1,102,UD.1.1,70,UD.1.1,50,UD.1.1,75,UD.1.1,65,UD.1.1,75,UD.1.1,149,UD.1.1,55,UD.1.1,220
H.Backspace,161,H.1,129,H.1,117,H.1,117,H.5,141,H.1,129,H.1,150,H.1,160,H.1,151,H.1,155,H.1,164,H.1,145,H.1,160,H.1,139,H.1,156,H.1,156,H.1,112,H.1,161,H.1,120,H.1,171,H.1,167,H.1,127,H.1,94,H.1,116,H.1,171,H.1,136,H.1,151,H.1,128,H.Backspace,68,H.1,132,H.1,116,H.5,116,H.1,134,H.1,145,H.1,149,H.1,176,H.1,135,H.1,152,H.1,111,H.1,123,H.1,201,H.Backspace,134,H.1,100,H.1,156,H.1,100,H.1,232,H.1,145,H.1,142,H.1,213,H.1,179,H.1,162,H.1,145,H.1,137,H.1,120,H.1,73,H.1,78,H.1,78,H.1,151,H.1,110,H.1,124,H.1,95,H.1,122,H.1,151,H.1,165,H.1,112
