H.A,160,H.A,161,H.A,197,H.A,154,H.A,181,H.A,162,H.A,172,H.A,182,H.A,198,H.A,177,H.A,134,H.A,118,H.A,129,H.A,123,H.A,123,H.A,140,H.A,139,H.A,133,H.A,111,H.A,129,H.A,122,H.A,150,H.A,117,H.A,113,H.A,123,H.A,139,H.A,133,H.A,149,H.A,128,H.A,143,H.A,117,H.A,140,H.A,133,H.A,139,H.A,138,H.A,107,H.A,134,H.A,124,H.A,134,H.A,134,H.A,96,H.A,128,H.A,123,H.A,129,H.A,117,H.A,106,H.A,128,H.A,139,H.A,128,H.A,144,H.A,101,H.A,162,H.A,134,H.A,133,H.A,166,H.A,145,H.A,122,H.A,134,H.A,129,H.A,112,H.A,128,H.A,135,H.A,143,H.A,143,H.A,112,H.A,144,H.A,139,H.A,140,H.A,112,H.A,123,H.A,102,H.A,101,H.A,113,H.A,93,H.A,94,H.A,113,H.A,102,H.A,96,,170,,160
DD.A.m,687,DD.A.m,369,DD.A.m,312,DD.A.m,387,DD.A.m,192,DD.A.m,473,DD.A.m,427,DD.A.m,401,DD.A.m,291,DD.A.m,333,DD.A.m,633,DD.A.m,351,DD.A.m,340,DD.A.m,435,DD.A.m,394,DD.A.m,334,DD.A.m,395,DD.A.m,698,DD.A.m,384,DD.A.m,322,DD.A.m,356,DD.A.m,326,DD.A.m,384,DD.A.m,943,DD.A.m,326,DD.A.m,294,DD.A.m,319,DD.A.m,466,DD.A.m,307,DD.A.m,311,DD.A.m,311,DD.A.m,300,DD.A.m,310,DD.A.m,290,DD.A.m,342,DD.A.m,318,DD.A.m,353,DD.A.m,395,DD.A.m,402,DD.A.m,371,DD.A.m,655,DD.A.m,359,DD.A.m,394,DD.A.m,327,DD.A.m,423,DD.A.m,313,DD.A.m,324,DD.A.m,309,DD.A.m,347,DD.A.m,478,DD.A.m,393,DD.A.m,340,DD.A.m,354,DD.A.m,1410,DD.A.m,437,DD.A.m,325,DD.A.m,339,DD.A.m,302,DD.A.m,329,DD.A.m,352,DD.A.m,528,DD.A.m,443,DD.A.m,383,DD.A.m,552,DD.A.m,5689,DD.A.m,425,DD.A.m,230,DD.A.m,283,DD.A.m,383,DD.A.m,324,DD.A.m,473,DD.A.m,610,DD.A.m,343,DD.A.m,294,DD.A.m,327,DD.A.m,697,DD.A.m,342,DD.A.m,365,,327,,
UD.A.m,527,UD.A.m,208,UD.A.m,115,UD.A.m,233,UD.A.m,11,UD.A.m,311,UD.A.m,255,UD.A.m,219,UD.A.m,93,UD.A.m,156,UD.A.m,499,UD.A.m,233,UD.A.m,211,UD.A.m,312,UD.A.m,271,UD.A.m,194,UD.A.m,256,UD.A.m,565,UD.A.m,273,UD.A.m,193,UD.A.m,234,UD.A.m,176,UD.A.m,267,UD.A.m,830,UD.A.m,203,UD.A.m,155,UD.A.m,186,UD.A.m,317,UD.A.m,179,UD.A.m,168,UD.A.m,194,UD.A.m,160,UD.A.m,177,UD.A.m,151,UD.A.m,204,UD.A.m,211,UD.A.m,219,UD.A.m,271,UD.A.m,268,UD.A.m,237,UD.A.m,559,UD.A.m,231,UD.A.m,271,UD.A.m,198,UD.A.m,306,UD.A.m,207,UD.A.m,196,UD.A.m,170,UD.A.m,219,UD.A.m,334,UD.A.m,292,UD.A.m,178,UD.A.m,220,UD.A.m,1277,UD.A.m,271,UD.A.m,180,UD.A.m,217,UD.A.m,168,UD.A.m,200,UD.A.m,240,UD.A.m,400,UD.A.m,308,UD.A.m,240,UD.A.m,409,UD.A.m,5577,UD.A.m,281,UD.A.m,91,UD.A.m,143,UD.A.m,271,UD.A.m,201,UD.A.m,371,UD.A.m,509,UD.A.m,230,UD.A.m,201,UD.A.m,233,UD.A.m,584,UD.A.m,240,UD.A.m,269,,157,,
H.m,124,H.m,129,H.m,113,H.m,112,H.m,128,H.m,144,H.m,118,H.m,133,H.m,133,H.m,108,H.m,171,H.m,176,H.m,182,H.m,155,H.m,165,H.m,209,H.m,151,H.m,172,H.m,182,H.m,187,H.m,173,H.m,165,H.m,183,H.m,166,H.m,166,H.m,177,H.m,182,H.m,170,H.m,165,H.m,187,H.m,171,H.m,167,H.m,172,H.m,177,H.m,203,H.m,161,H.m,160,H.m,172,H.m,172,H.m,199,H.m,150,H.m,166,H.m,178,H.m,161,H.m,182,H.m,162,H.m,150,H.m,182,H.m,139,H.m,172,H.m,156,H.m,161,H.m,165,H.m,188,H.m,176,H.m,188,H.m,151,H.m,177,H.m,181,H.m,150,H.m,149,H.m,150,H.m,187,H.m,162,H.m,194,H.m,160,H.m,155,H.m,187,H.m,187,H.m,182,H.m,166,H.m,145,H.m,151,H.m,155,H.m,161,H.m,143,H.m,134,H.m,134,,,,
DD.m.1,658,DD.m.1,404,DD.m.1,244,DD.m.1,323,DD.m.1,190,DD.m.1,2046,DD.m.1,461,DD.m.1,853,DD.m.1,307,DD.m.1,297,DD.m.1,339,DD.m.1,449,DD.m.1,404,DD.m.1,406,DD.m.1,348,DD.m.1,319,DD.m.1,356,DD.m.1,288,DD.m.1,290,DD.m.1,293,DD.m.1,232,DD.m.1,176,DD.m.1,249,DD.m.1,242,DD.m.1,290,DD.m.1,301,DD.m.1,297,DD.m.1,348,DD.m.1,280,DD.m.1,316,DD.m.1,294,DD.m.1,282,DD.m.1,283,DD.m.1,301,DD.m.1,312,DD.m.1,512,DD.m.1,274,DD.m.1,295,DD.m.1,258,DD.m.1,299,DD.m.1,232,DD.m.1,302,DD.m.1,315,DD.m.1,333,DD.m.1,307,DD.m.1,275,DD.m.1,345,DD.m.1,282,DD.m.1,271,DD.m.1,227,DD.m.1,209,DD.m.1,271,DD.m.1,268,DD.m.1,311,DD.m.1,243,DD.m.1,278,DD.m.1,321,DD.m.1,283,DD.m.1,294,DD.m.1,259,DD.m.1,329,DD.m.1,290,DD.m.1,243,DD.m.1,228,DD.m.1,199,DD.m.1,211,DD.m.1,165,DD.m.1,192,DD.m.1,253,DD.m.1,188,DD.m.1,422,DD.m.1,373,DD.m.1,273,DD.m.1,282,DD.m.1,256,DD.m.1,382,DD.m.1,323,DD.m.1,391,,,,
UD.m.1,534,UD.m.1,275,UD.m.1,131,UD.m.1,211,UD.m.1,62,UD.m.1,1902,UD.m.1,343,UD.m.1,720,UD.m.1,174,UD.m.1,189,UD.m.1,168,UD.m.1,273,UD.m.1,222,UD.m.1,251,UD.m.1,183,UD.m.1,110,UD.m.1,205,UD.m.1,116,UD.m.1,108,UD.m.1,106,UD.m.1,59,UD.m.1,11,UD.m.1,66,UD.m.1,76,UD.m.1,124,UD.m.1,124,UD.m.1,115,UD.m.1,178,UD.m.1,115,UD.m.1,129,UD.m.1,123,UD.m.1,115,UD.m.1,111,UD.m.1,124,UD.m.1,109,UD.m.1,351,UD.m.1,114,UD.m.1,123,UD.m.1,86,UD.m.1,100,UD.m.1,82,UD.m.1,136,UD.m.1,137,UD.m.1,172,UD.m.1,125,UD.m.1,113,UD.m.1,195,UD.m.1,100,UD.m.1,132,UD.m.1,55,UD.m.1,53,UD.m.1,110,UD.m.1,103,UD.m.1,123,UD.m.1,67,UD.m.1,90,UD.m.1,170,UD.m.1,106,UD.m.1,113,UD.m.1,109,UD.m.1,180,UD.m.1,140,UD.m.1,56,UD.m.1,66,UD.m.1,5,UD.m.1,51,UD.m.1,10,UD.m.1,5,UD.m.1,66,UD.m.1,6,UD.m.1,256,UD.m.1,228,UD.m.1,122,UD.m.1,127,UD.m.1,95,UD.m.1,239,UD.m.1,189,UD.m.1,257,,,,
H.1,110,H.1,96,H.1,107,H.1,101,H.1,91,H.1,97,H.1,139,H.1,112,H.1,91,H.1,101,H.1,128,H.1,107,H.1,118,H.1,124,H.1,123,H.1,129,H.1,118,H.1,107,H.1,113,H.1,108,H.1,113,H.1,134,H.1,128,H.1,118,H.1,129,H.1,112,H.1,117,H.1,113,H.1,128,H.1,92,H.1,124,H.1,128,H.1,128,H.1,119,H.1,118,H.1,121,H.1,113,H.1,123,H.1,118,H.1,97,H.1,118,H.1,129,H.1,107,H.1,102,H.1,112,H.1,117,H.1,119,H.1,133,H.1,123,H.1,113,H.1,101,H.1,123,H.1,128,H.1,91,H.1,144,H.1,139,H.1,134,H.1,128,H.1,124,H.1,117,H.1,123,H.1,113,H.1,128,H.1,128,H.1,133,H.1,129,H.1,124,H.1,97,H.1,123,H.1,107,H.1,194,H.1,170,H.1,150,H.1,178,H.1,167,H.1,155,H.1,166,H.1,133,,,,
DD.1.1,234,DD.1.1,155,DD.1.1,166,DD.1.1,177,DD.1.1,149,DD.1.1,172,DD.1.1,216,DD.1.1,177,DD.1.1,161,DD.1.1,188,DD.1.1,287,DD.1.1,296,DD.1.1,346,DD.1.1,311,DD.1.1,266,DD.1.1,250,DD.1.1,269,DD.1.1,297,DD.1.1,272,DD.1.1,243,DD.1.1,248,DD.1.1,239,DD.1.1,337,DD.1.1,259,DD.1.1,258,DD.1.1,243,DD.1.1,282,DD.1.1,264,DD.1.1,254,DD.1.1,253,DD.1.1,294,DD.1.1,254,DD.1.1,262,DD.1.1,213,DD.1.1,306,DD.1.1,309,DD.1.1,304,DD.1.1,254,DD.1.1,222,DD.1.1,258,DD.1.1,243,DD.1.1,235,DD.1.1,236,DD.1.1,239,DD.1.1,215,DD.1.1,243,DD.1.1,261,DD.1.1,210,DD.1.1,482,DD.1.1,233,DD.1.1,258,DD.1.1,436,DD.1.1,213,DD.1.5,188,DD.1.1,253,DD.1.1,279,DD.1.1,291,DD.1.1,349,DD.1.1,468,DD.1.1,879,DD.1.1,244,DD.1.1,280,DD.1.1,308,DD.1.1,1048,DD.1.1,1496,DD.1.1,386,DD.1.1,265,DD.1.1,326,DD.1.1,251,DD.1.1,199,DD.1.1,209,DD.1.1,203,DD.1.1,215,DD.1.1,229,DD.1.1,205,DD.1.1,231,DD.1.1,236,DD.1.1,293,,,,
UD.1.1,124,UD.1.1,59,UD.1.1,59,UD.1.1,76,UD.1.1,58,UD.1.1,75,UD.1.1,77,UD.1.1,65,UD.1.1,70,UD.1.1,87,UD.1.1,159,UD.1.1,189,UD.1.1,228,UD.1.1,187,UD.1.1,143,UD.1.1,121,UD.1.1,151,UD.1.1,190,UD.1.1,159,UD.1.1,135,UD.1.1,135,UD.1.1,105,UD.1.1,209,UD.1.1,141,UD.1.1,129,UD.1.1,131,UD.1.1,165,UD.1.1,151,UD.1.1,126,UD.1.1,161,UD.1.1,170,UD.1.1,126,UD.1.1,134,UD.1.1,94,UD.1.1,188,UD.1.1,188,UD.1.1,191,UD.1.1,131,UD.1.1,104,UD.1.1,161,UD.1.1,125,UD.1.1,106,UD.1.1,129,UD.1.1,137,UD.1.1,103,UD.1.1,126,UD.1.1,142,UD.1.1,77,UD.1.1,359,UD.1.1,120,UD.1.1,157,UD.1.1,313,UD.1.1,85,UD.1.5,97,UD.1.1,109,UD.1.1,140,UD.1.1,157,UD.1.1,221,UD.1.1,344,UD.1.1,762,UD.1.1,121,UD.1.1,167,UD.1.1,180,UD.1.1,920,UD.1.1,1363,UD.1.1,257,UD.1.1,141,UD.1.1,229,UD.1.1,128,UD.1.1,92,UD.1.1,15,UD.1.1,33,UD.1.1,65,UD.1.1,51,UD.1.1,38,UD.1.1,76,UD.1.1,70,UD.1.1,160,,,,
H.1,129,H.1,112,H.1,135,H.1,167,H.1,106,H.1,118,H.1,134,H.1,134,H.1,133,H.1,106,H.1,101,H.1,96,H.1,90,H.1,96,H.1,109,H.1,107,H.1,97,H.1,101,H.1,90,H.1,112,H.1,70,H.1,90,H.1,99,H.1,108,H.1,87,H.1,97,H.1,101,H.1,102,H.1,97,H.1,86,H.1,96,H.1,103,H.1,101,H.1,97,H.1,97,H.1,97,H.1,102,H.1,92,H.1,97,H.1,100,H.1,91,H.1,101,H.1,102,H.1,97,H.1,97,H.1,101,H.1,91,H.1,96,H.1,102,H.1,96,H.1,96,H.1,102,H.1,92,H.5,129,H.1,93,H.1,96,H.1,90,H.1,102,H.1,96,H.1,102,H.1,100,H.1,108,H.1,96,H.1,113,H.1,107,H.1,97,H.1,106,H.1,108,H.1,102,H.1,102,H.1,113,H.1,129,H.1,134,H.1,133,H.1,145,H.1,144,H.1,122,H.1,145,,,,
