H.A,129,H.A,133,H.A,129,H.A,129,H.A,129,H.A,123,H.A,113,H.A,155,H.A,113,H.A,128,H.A,118,H.A,166,H.Caps Lock,115,H.A,145,H.A,134,H.A,134,H.A,140,H.A,139,H.A,128,H.A,123,H.A,150,H.A,128,H.A,144,H.A,139,H.A,140,H.A,102,H.A,134,H.A,140,H.A,113,H.A,133,H.A,139,H.A,86,H.A,140,H.A,128,H.A,139,H.A,135,H.A,123,H.A,144,H.A,134,H.A,108,H.A,139,H.A,139,H.A,134,H.A,151,H.A,133,H.A,129,H.A,145,H.A,135,H.A,156,H.A,145,H.A,139,H.A,134,H.A,140,H.A,134,H.A,134,H.A,140,H.A,141,H.A,111,H.A,124,H.A,145,H.A,133,H.A,140,H.A,140,H.A,155,H.A,128,H.A,161,H.A,118,H.A,139,H.A,139,H.A,139,H.A,134,H.A,134,H.A,144,H.A,123,H.A,155,H.A,133,H.A,140,H.A,140
DD.A.m,239,DD.A.m,264,DD.A.m,323,DD.A.m,371,DD.A.m,335,DD.A.m,313,DD.A.m,199,DD.A.m,443,DD.A.m,350,DD.A.m,280,DD.A.m,314,DD.A.m,774,DD.Caps Lock.Caps Lock,461,DD.A.m,332,DD.A.m,346,DD.A.m,306,DD.A.m,388,DD.A.m,424,DD.A.m,481,DD.A.m,483,DD.A.m,381,DD.A.m,348,DD.A.m,341,DD.A.m,374,DD.A.m,360,DD.A.m,359,DD.A.m,371,DD.A.m,346,DD.A.m,443,DD.A.m,329,DD.A.m,337,DD.A.m,505,DD.A.m,356,DD.A.m,396,DD.A.m,330,DD.A.m,345,DD.A.m,380,DD.A.m,1578,DD.A.m,376,DD.A.m,436,DD.A.m,613,DD.A.m,365,DD.A.m,734,DD.A.m,443,DD.A.m,685,DD.A.m,355,DD.A.m,369,DD.A.m,420,DD.A.m,413,DD.A.m,618,DD.A.m,343,DD.A.m,353,DD.A.m,283,DD.A.m,283,DD.A.m,325,DD.A.m,362,DD.A.m,343,DD.A.m,376,DD.A.m,304,DD.A.m,345,DD.A.m,335,DD.A.m,378,DD.A.m,401,DD.A.m,419,DD.A.m,404,DD.A.m,588,DD.A.m,388,DD.A.m,491,DD.A.m,372,DD.A.m,349,DD.A.m,731,DD.A.m,416,DD.A.m,378,DD.A.m,392,DD.A.m,633,DD.A.m,416,DD.A.m,426,DD.A.m,316
UD.A.m,110,UD.A.m,131,UD.A.m,194,UD.A.m,242,UD.A.m,206,UD.A.m,190,UD.A.m,86,UD.A.m,288,UD.A.m,237,UD.A.m,152,UD.A.m,196,UD.A.m,608,UD.Caps Lock.Caps Lock,346,UD.A.m,187,UD.A.m,212,UD.A.m,172,UD.A.m,248,UD.A.m,285,UD.A.m,353,UD.A.m,360,UD.A.m,231,UD.A.m,220,UD.A.m,197,UD.A.m,235,UD.A.m,220,UD.A.m,257,UD.A.m,237,UD.A.m,206,UD.A.m,330,UD.A.m,196,UD.A.m,198,UD.A.m,419,UD.A.m,216,UD.A.m,268,UD.A.m,191,UD.A.m,210,UD.A.m,257,UD.A.m,1434,UD.A.m,242,UD.A.m,328,UD.A.m,474,UD.A.m,226,UD.A.m,600,UD.A.m,292,UD.A.m,552,UD.A.m,226,UD.A.m,224,UD.A.m,285,UD.A.m,257,UD.A.m,473,UD.A.m,204,UD.A.m,219,UD.A.m,143,UD.A.m,149,UD.A.m,191,UD.A.m,222,UD.A.m,202,UD.A.m,265,UD.A.m,180,UD.A.m,200,UD.A.m,202,UD.A.m,238,UD.A.m,261,UD.A.m,264,UD.A.m,276,UD.A.m,427,UD.A.m,270,UD.A.m,352,UD.A.m,233,UD.A.m,210,UD.A.m,597,UD.A.m,282,UD.A.m,234,UD.A.m,269,UD.A.m,478,UD.A.m,283,UD.A.m,286,UD.A.m,176
H.m,134,H.m,80,H.m,86,H.m,102,H.m,80,H.m,81,H.m,97,H.m,91,H.m,102,H.m,86,H.m,86,H.m,86,H.Caps Lock,88,H.m,91,H.m,96,H.m,91,H.m,86,H.m,86,H.m,85,H.m,81,H.m,92,H.m,112,H.m,90,H.m,91,H.m,85,H.m,81,H.m,90,H.m,81,H.m,75,H.m,86,H.m,85,H.m,80,H.m,90,H.m,90,H.m,75,H.m,85,H.m,65,H.m,80,H.m,86,H.m,80,H.m,81,H.m,96,H.m,91,H.m,85,H.m,74,H.m,81,H.m,69,H.m,80,H.m,86,H.m,96,H.m,97,H.m,102,H.m,81,H.m,107,H.m,91,H.m,107,H.m,97,H.m,80,H.m,80,H.m,96,H.m,85,H.m,91,H.m,86,H.m,86,H.m,80,H.m,76,H.m,86,H.m,113,H.m,86,H.m,86,H.m,75,H.m,81,H.m,113,H.m,91,H.m,85,H.m,102,H.m,80,H.m,80
DD.m.1,489,DD.m.1,365,DD.m.1,271,DD.m.1,375,DD.m.1,279,DD.m.1,667,DD.m.1,433,DD.m.1,268,DD.m.1,208,DD.m.1,175,DD.m.1,183,DD.m.1,301,DD.Caps Lock.A,572,DD.m.1,405,DD.m.1,241,DD.m.1,490,DD.m.1,696,DD.m.1,221,DD.m.1,601,DD.m.1,461,DD.m.1,265,DD.m.1,676,DD.m.1,910,DD.m.1,211,DD.m.1,227,DD.m.1,250,DD.m.1,312,DD.m.1,325,DD.m.1,287,DD.m.1,229,DD.m.1,191,DD.m.1,699,DD.m.1,222,DD.m.1,323,DD.m.1,249,DD.m.1,831,DD.m.m,144,DD.m.1,232,DD.m.1,571,DD.m.1,545,DD.m.1,617,DD.m.1,344,DD.m.1,1952,DD.m.1,1313,DD.m.1,302,DD.m.1,270,DD.m.1,625,DD.m.1,517,DD.m.1,337,DD.m.1,1106,DD.m.1,424,DD.m.1,255,DD.m.1,170,DD.m.1,260,DD.m.1,239,DD.m.1,206,DD.m.1,581,DD.m.1,262,DD.m.1,236,DD.m.1,228,DD.m.1,268,DD.m.1,528,DD.m.1,798,DD.m.1,1512,DD.m.1,388,DD.m.1,333,DD.m.1,1218,DD.m.1,419,DD.m.1,1063,DD.m.1,463,DD.m.1,346,DD.m.1,208,DD.m.1,297,DD.m.1,516,DD.m.1,358,DD.m.1,440,DD.m.1,383,DD.m.1,197
UD.m.1,355,UD.m.1,285,UD.m.1,185,UD.m.1,273,UD.m.1,199,UD.m.1,586,UD.m.1,336,UD.m.1,177,UD.m.1,106,UD.m.1,89,UD.m.1,97,UD.m.1,215,UD.Caps Lock.A,484,UD.m.1,314,UD.m.1,145,UD.m.1,399,UD.m.1,610,UD.m.1,135,UD.m.1,516,UD.m.1,380,UD.m.1,173,UD.m.1,564,UD.m.1,820,UD.m.1,120,UD.m.1,142,UD.m.1,169,UD.m.1,222,UD.m.1,244,UD.m.1,212,UD.m.1,143,UD.m.1,106,UD.m.1,619,UD.m.1,132,UD.m.1,233,UD.m.1,174,UD.m.1,746,UD.m.m,79,UD.m.1,152,UD.m.1,485,UD.m.1,465,UD.m.1,536,UD.m.1,248,UD.m.1,1861,UD.m.1,1228,UD.m.1,228,UD.m.1,189,UD.m.1,556,UD.m.1,437,UD.m.1,251,UD.m.1,1010,UD.m.1,327,UD.m.1,153,UD.m.1,89,UD.m.1,153,UD.m.1,148,UD.m.1,99,UD.m.1,484,UD.m.1,182,UD.m.1,156,UD.m.1,132,UD.m.1,183,UD.m.1,437,UD.m.1,712,UD.m.1,1426,UD.m.1,308,UD.m.1,257,UD.m.1,1132,UD.m.1,306,UD.m.1,977,UD.m.1,377,UD.m.1,271,UD.m.1,127,UD.m.1,184,UD.m.1,425,UD.m.1,273,UD.m.1,338,UD.m.1,303,UD.m.1,117
H.1,74,H.1,71,H.1,71,H.1,81,H.1,69,H.1,64,H.1,80,H.1,76,H.1,65,H.1,75,H.1,69,H.1,81,H.A,135,H.1,81,H.1,70,H.1,87,H.1,75,H.1,81,H.1,75,H.1,76,H.1,86,H.1,65,H.1,81,H.1,70,H.1,80,H.1,81,H.1,75,H.1,79,H.1,81,H.1,86,H.1,80,H.1,70,H.1,76,H.1,80,H.1,75,H.1,75,H.m,70,H.1,84,H.1,59,H.1,80,H.1,75,H.1,79,H.1,70,H.1,80,H.1,76,H.1,80,H.1,74,H.1,85,H.1,81,H.1,75,H.1,74,H.1,75,H.1,86,H.1,75,H.1,86,H.1,80,H.1,39,H.1,91,H.1,74,H.1,76,H.1,81,H.1,85,H.1,81,H.1,79,H.1,64,H.1,90,H.1,81,H.1,70,H.1,92,H.1,65,H.1,81,H.1,81,H.1,85,H.1,80,H.1,81,H.1,82,H.1,85,H.1,92
DD.1.1,154,DD.1.1,134,DD.1.1,140,DD.1.1,152,DD.1.1,134,DD.1.1,113,DD.1.1,155,DD.1.1,129,DD.1.1,114,DD.1.1,133,DD.1.1,133,DD.1.1,135,DD.A.m,1135,DD.1.1,148,DD.1.1,121,DD.1.1,144,DD.1.1,137,DD.1.1,137,DD.1.1,122,DD.1.1,136,DD.1.1,184,DD.1.1,123,DD.1.1,134,DD.1.1,131,DD.1.1,122,DD.1.1,134,DD.1.1,124,DD.1.1,135,DD.1.1,126,DD.1.1,138,DD.1.1,137,DD.1.1,120,DD.1.1,126,DD.1.1,130,DD.1.1,143,DD.1.1,133,DD.m.1,1416,DD.1.1,142,DD.1.1,121,DD.1.1,131,DD.1.1,130,DD.1.1,124,DD.1.1,132,DD.1.1,137,DD.1.1,136,DD.1.1,153,DD.1.1,124,DD.1.1,542,DD.1.1,131,DD.1.1,124,DD.1.1,131,DD.1.1,119,DD.1.1,124,DD.1.1,106,DD.1.1,126,DD.1.1,118,DD.1.1,89,DD.1.1,134,DD.1.1,131,DD.1.1,121,DD.1.1,124,DD.1.1,127,DD.1.1,131,DD.1.1,138,DD.1.1,120,DD.1.1,146,DD.1.1,144,DD.1.1,127,DD.1.1,160,DD.1.1,117,DD.1.1,132,DD.1.1,130,DD.1.1,130,DD.1.1,129,DD.1.5,306,DD.1.1,142,DD.1.1,146,DD.1.1,132
UD.1.1,80,UD.1.1,63,UD.1.1,69,UD.1.1,71,UD.1.1,65,UD.1.1,49,UD.1.1,75,UD.1.1,53,UD.1.1,49,UD.1.1,58,UD.1.1,64,UD.1.1,54,UD.A.m,1000,UD.1.1,67,UD.1.1,51,UD.1.1,57,UD.1.1,62,UD.1.1,56,UD.1.1,47,UD.1.1,60,UD.1.1,98,UD.1.1,58,UD.1.1,53,UD.1.1,61,UD.1.1,42,UD.1.1,53,UD.1.1,49,UD.1.1,56,UD.1.1,45,UD.1.1,52,UD.1.1,57,UD.1.1,50,UD.1.1,50,UD.1.1,50,UD.1.1,68,UD.1.1,58,UD.m.1,1346,UD.1.1,58,UD.1.1,62,UD.1.1,51,UD.1.1,55,UD.1.1,45,UD.1.1,62,UD.1.1,57,UD.1.1,60,UD.1.1,73,UD.1.1,50,UD.1.1,457,UD.1.1,50,UD.1.1,49,UD.1.1,57,UD.1.1,44,UD.1.1,38,UD.1.1,31,UD.1.1,40,UD.1.1,38,UD.1.1,50,UD.1.1,43,UD.1.1,57,UD.1.1,45,UD.1.1,43,UD.1.1,42,UD.1.1,50,UD.1.1,59,UD.1.1,56,UD.1.1,56,UD.1.1,63,UD.1.1,57,UD.1.1,68,UD.1.1,52,UD.1.1,51,UD.1.1,49,UD.1.1,45,UD.1.1,49,UD.1.5,225,UD.1.1,60,UD.1.1,61,UD.1.1,40
H.1,97,H.1,96,H.1,84,H.1,97,H.1,97,H.1,101,H.1,103,H.1,86,H.1,86,H.1,90,H.1,70,H.1,101,H.m,80,H.1,86,H.1,113,H.1,86,H.1,91,H.1,87,H.1,113,H.1,90,H.1,96,H.1,91,H.1,107,H.1,96,H.1,97,H.1,91,H.1,95,H.1,96,H.1,96,H.1,118,H.1,80,H.1,86,H.1,85,H.1,91,H.1,85,H.1,81,H.1,80,H.1,86,H.1,85,H.1,97,H.1,107,H.1,86,H.1,102,H.1,90,H.1,90,H.1,75,H.1,97,H.1,108,H.1,81,H.1,96,H.1,76,H.1,91,H.1,107,H.1,101,H.1,100,H.1,108,H.1,81,H.1,76,H.1,92,H.1,102,H.1,103,H.1,99,H.1,91,H.1,102,H.1,92,H.1,66,H.1,69,H.1,81,H.1,91,H.1,81,H.1,96,H.1,85,H.1,86,H.1,107,H.5,103,H.1,91,H.1,75,H.1,96
DD.1.5,107,DD.1.5,310,DD.1.5,248,DD.1.5,255,DD.1.5,291,DD.1.5,267,DD.1.5,109,DD.1.5,239,DD.1.5,208,DD.1.5,264,DD.1.5,181,DD.1.5,279,DD.m.1,180,DD.1.5,215,DD.1.5,267,DD.1.5,224,DD.1.5,214,DD.1.5,228,DD.1.5,230,DD.1.5,252,DD.1.5,308,DD.1.5,210,DD.1.5,228,DD.1.5,251,DD.1.5,224,DD.1.5,211,DD.1.5,357,DD.1.5,222,DD.1.5,222,DD.1.5,230,DD.1.5,185,DD.1.5,225,DD.1.5,193,DD.1.5,210,DD.1.5,226,DD.1.5,195,DD.1.1,143,DD.1.5,198,DD.1.5,235,DD.1.5,238,DD.1.5,323,DD.1.5,219,DD.1.5,361,DD.1.5,216,DD.1.5,231,DD.1.5,215,DD.1.5,216,DD.1.5,366,DD.1.5,224,DD.1.5,352,DD.1.5,188,DD.1.5,210,DD.1.5,226,DD.1.5,208,DD.1.5,205,DD.1.5,213,DD.1.5,203,DD.1.5,182,DD.1.5,197,DD.1.5,214,DD.1.5,248,DD.1.5,205,DD.1.5,216,DD.1.5,252,DD.1.5,297,DD.1.5,195,DD.1.5,194,DD.1.5,223,DD.1.5,249,DD.1.5,212,DD.1.5,203,DD.1.5,220,DD.1.5,200,DD.1.5,226,DD.5.Backspace,786,DD.1.5,220,DD.1.5,179,DD.1.5,204
